id,description,asking_price,annual_revenue,ebitda,sde
25cdfcc4-e69c-4e28-9545-3f3df19d9f39,"A decades owned family operated “interior experts” business based in central NC, that specializes in luxury motorized window shades for residential and commercial applications. The only window treatment business in the country with a Mobile Showroom, for a convenient and customized customer experience. Located in a thriving real estate market, there is no shortage of growth opportunities.",800000,634054,277466,277466
1ea4df36-68c2-410c-8b5d-232795a35e80,"NEO Business Advisors represents a well-established, high precision CNC machining business in Northeast Ohio with an almost 70-year history. The business has state-of-the-art CNC machining centers, many with options for live tooling, 5-axis capabilities, pallet changers, dedicated tooling at each machine, and inspection probes in the machining centers. The company is uniquely positioned with specialty in-house fabrication capabilities that give them a defensible, high-margin position in the end-market industries they serve. There is moderate customer concentration with the top customer approximately 50% of sales with a 50+ year history, the second largest customer is about 35% of sales with a 20+ year history, and the balance of customers make up the remaining 15% of sales. The husband-and-wife owners are semi-absentee and have established a strong, stable, and cross trained team of employees and management to where they can run the business remotely, spending several months traveling each year and being involved in other business endeavors. This rare opportunity will not last long with a consistent history of over 30% Adjusted EBITDA Margins. This is an excellent opportunity for an individual buyer looking to acquire a business with high profit margins, extensive capabilities, a strong management team, an excellent brand reputation, and a defensible market position.  The business is also an excellent strategic acquisition for an established company in the same or adjacent industry looking to grow their market share, expand their geographic reach, add capabilities, diversify customers and end markets, or acquire highly skilled personnel. Financial Overview:Revenue by Year:Pro 2024 - $7,385,1982023 - $7,384,4482022 - $5,152,625Adjusted EBITDA by Year:Pro 2024 - $2,974,333 (40.27%)2023 - $2,418,031 (32.74%)2022 - $1,580,939 (30.68%)3 Year Weighted Average Adjusted EBITDA - $2,556,667Furniture, Fixtures, and Equipment (FF&E): FF&E of $3,885,000 is included in the asking price including a significant asset base of high-precision CNC machining centers including lathes, vertical mills, horizontal mills, EDM, grinders, saws and specialty fabrication capabilities. Equipment is all well maintained with several new machines added each of the last few years. The company has an extensive inventory of tooling, fixtures, and support equipment along with pallet racking and shelving for storage and two company owned trucks for local pickups and deliveries. The office and shop are fully computerized with an enterprise resource planning (ERP) software system managing the production environment.Working Capital: Inventory, Accounts Receivable, and Accounts Payable are included in the asking price as part of a normal level of Working Capital of $2,750,000 with the final sale price to be adjusted up or down for actual amount of Working Capital at time of closing. Real Estate: Real Estate is owned by the Company and available for sale or lease with the business. Estimated value is $1,500,000 not included in the Asking Price of the business. The building is approximately 25,000 SF of manufacturing and office space with three overhead cranes and over a dozen jib and pedestal cranes.Growth and Expansion: The owner does not currently do any outbound sales and marketing and relies entirely on repeat business from existing customers with whom they are turning work down because of capacity constraints. Investing in people would be the best way to continue to grow the business because the opportunities for more work are already there. Sales and marketing efforts could be implemented to diversify the customer concentration if a buyer felt this was a risk factor.Reason for Selling:  The owner is seeking a sale for retirement.  Support & Training:  The owner is willing to stay on for a reasonable time after a sale to ensure a smooth transition.",14300000,7385198,2556667,2556667
5d74b8fb-3973-43f6-a5af-f0534b110ec4,"The sale price of this HVAC business includes a vehicle and all essential equipment needed for daily operations. This successful heating and air conditioning business consistently achieves strong profit margins and reliable revenue. The company services all brands of heating and air conditioning units, including new installations, heat pumps, air handlers, and ductless mini-split systems. They cater to both residential and commercial customers and offer annual maintenance packages.
                    
This is an executive-style business where the new owner will oversee financial management and cultivate community relationships for further growth, plus, they can capitalize on existing national accounts for substantial discounts on parts and equipment. Being designated as ""essential,"" the business offers a service in high demand, and its scalability presents ample expansion opportunities, even for those without prior industry experience. Key highlights include owner-friendly business hours, a loyal base of repeat and referral customers, high gross profit margins, a skilled workforce, technology-driven operations, and established national accounts. Additionally, comprehensive training and ongoing support ensure a smooth transition for the new owner",250000,817000,212000,212000
cd1672d1-9487-48df-b1f9-7462314546ea,"Business Overview:
•	Contracted Service Area (CSA) in Northeastern Arkansas
•	16 P&D routes with integrated Home Delivery and Ground mix
•	Six-day dispatch schedule with an urban and rural route mix
•	Maintains silver medal status reflecting FedEx's strong operational performance
•	The business has undergone the FedEx 2.0 integration and is a fully transferable CSA
         with FedEx approval

Financial Details:
•	2025 Revenue: $1,863,451
•	2025 EBITDA: $337,362 (18.10%)
•	One year of tax returns is available along with PCAT data
•	Equipment Value: (17 Trucks): $371,000

Vehicle Details:
•	17 vehicles included in the purchase price with clear titles
•	Mix of 2021–2023 Ford P1000/P700 and box truck units, plus maintained legacy vehicles
        All vehicles are maintained to FedEx standards
•	A combination of both owned vehicles and leased vehicles

Employee Details:
•	22 employees, including two managers with 3+ years of experience
•	Managers drive approximately 5% of the time

Asking Price:
•	Price $1,099,000
•	Cash, Conventional, or SBA eligible for a well-qualified buyer
•	Seller is downsizing their FedEx operations to pursue other opportunities",1099000,1863451,337362,null
6a19ab05-7fe7-484b-8a0d-720fd6d98eac,"The ease of ownership along with endless services : legal documents, fingerprinting, passport photos, makes this a very appealing business for first time business buyers. Avoid the porch pirates and have packages delivered to this store instead. They can hold your delivered package for a number of days - even packages from Amazon! Did you know this shop can pack and ship to almost anywhere in the world. The business specializes in professional packing, mailing services, shipping, freight, crating, custom packaging, retail shipping supplies, greeting cards, copies, faxing, and other business services. The business utilizes all major commercial shippers including FedEx, US Mail, and United Parcel Service. These services are provided to a variety of clients including businesses, government entities, and private consumers. Area visitors and vacationers play a key role in success of the business. In-house accounts are utilized to offer maximum customer convenience and fastest service when dropping off and shipping goods In addition to shipping, they also offer copy, and document services. In Colorado Springs, this is your one stop shop for business needs.Additional services - gift wrapping, notary, and mailbox rentals with a real street address instead of a P.O. Box address! .A secondary lucrative business is included which we can describe after a NDA is signed",250000,213433,156553,156553
768f0baa-1a91-4315-848f-0d32da1f8ff5,"**NDA Required for address** NOTE: Yes, it is still available. If interested, please schedule a call to discuss further: https://calendly.com/christian-zarama/15min Business Highlights: Annual Overview 2024(F)
                    
Gross Sales: $1,360,000                    
COGS: $97,570                    
Rent: $112,502                    
Payroll: $593,483                    
EBITDA: $90,000                    
Net Income: $85,000 License #SL3587465 Broker Name: Steinberg RE Holdings, Inc. License Number: #BK3614108",999999,1360000,85000,85000
57f43901-c41f-4554-a9a1-cc34ad1b43d0,"This well-established landscape business specializes in the design, creation, and maintenance of high-quality outdoor spaces. With a strong focus on residential clients, who represent 95% of sales, the business has become a trusted name in transforming properties through stunning landscape design and expert installation. Design and installation projects account for 70% of the company’s annual revenue, showcasing the demand for its ability to deliver tailored, high-end outdoor environments. The company’s expertise extends beyond initial design and installation, offering ongoing maintenance services that ensure the long-term beauty and health of the landscapes they create. Their commitment to providing exceptional service has resulted in a loyal customer base and a solid reputation for both reliability and excellence. With steady revenue growth and a skilled team in place, this business offers substantial opportunities for future expansion. There’s significant potential to diversify service offerings, increase the client base, and scale operations to meet growing demand. Whether expanding into commercial projects, adding new services, or tapping into underserved markets, the business is well-positioned for continued success. This Florida based company for sale is offered by Transworld Business Advisors, the number one business brokerage in the world. With local presence AND global marketing reach, Transworld Business Advisors provides main-street and lower middle market business owners and buyers with transaction expertise. Inquire for more details and learn how you can buy a business for as little as 10% down on qualified SBA listings or how to use creative financing options to get a deal done! Get added to our buyer list today to receive notifications as businesses with your criteria hit the market!",499000,746801,202783,202783
ff3ee69b-50a5-438a-9c61-282b45adb595,"Established and well managed pediatrics healthcare practice serving 4 counties with a personalized approach to general pediatric medicine.Located in a well populated, growing area with no competition.Extensive growth opportunities since patients all come from word-of-mouth referrals so implementing a website and marketing will help grow this practice even more.8 employees will stay on. The 2,400 square feet of office space is leased and easily transferable to the new owner.Seller will stay on for a reasonable amount of time to ensure a smooth transition.",1600000,1537000,728000,728000
605d5c3f-08fa-4b01-8b77-bf7575463049,"A well-established carpet and upholstery cleaning company with an outstanding reputation for quality and professionalism is available for acquisition. Serving residential and commercial clients. 

The business provides a full range of cleaning services, including carpet, area rug, upholstery, tile, stone, and hardwood cleaning, along with protective treatments. 

With a large customer database, most of whom are repeat or referral clients, the business benefits from steady, recurring demand.

The company employs a skilled, long-term staff that manages day-to-day operations with minimal oversight. Employees are well-trained, and dependable. This allows for consistent performance and smooth operations under new ownership.

This opportunity is ideal for a hands-on owner or manager seeking a respected, recession-resistant service business with strong systems, loyal customers, and a solid reputation. The sellers are retiring and will provide training and transition support to ensure a smooth handover and continued success.",800000,926903,167000,null
76a74ff3-4505-4ff0-bb19-7b69c548451c,"This busy “Light Industrial” business services both residential and commercial customers. It provides gutter maintenance and installation, professional window cleaning, solar panel installation and more. It is currently run home-based. This business could be run fully passively using the parent company’s management arm for a small percentage of total sales making this attractive for an investor. Most of the commercial revenues are very predictable, residual, and ongoing. The business has multiple income streams and achieved a 32% net profit margin in 2022. We have a loyal customer base and pride ourselves on being the “best of the best” in this industry. The business utilizes a state-of-the-art call centre which sets appointments for the owner. Also, a full marketing department supports all SEO expenditures. A new owner can leverage his or her marketing, sales, and management backgrounds to continue the strong market growth inside this well-established brand. Other business highlights include:",149990,740000,268000,268000
